CustomerId,CreditScore,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,Exited
15592531,822,7,0,2,1,1,0
15656148,376,4,115046.74,4,1,0,1
15792365,501,4,142051.07,2,0,1,0
15592389,684,2,134603.88,1,1,1,0
15767821,528,6,102016.72,2,0,0,0
15737173,497,3,0,2,1,0,0
15632264,476,10,0,2,1,0,0
15691483,549,5,0,2,0,0,0
15600882,635,7,0,2,1,1,0
15643966,616,3,143129.41,2,0,1,0
15737452,653,1,132602.88,1,1,0,1
15788218,549,9,0,2,1,1,0
15661507,587,6,0,1,0,0,0
15568982,726,6,0,2,1,1,0
15577657,732,8,0,2,1,1,0
15597945,636,8,0,2,1,0,0
15699309,510,4,0,1,1,0,1
15725737,669,3,0,2,0,1,0
15625047,846,5,0,1,1,1,0
15738191,577,3,0,2,0,1,0
15736816,756,2,136815.64,1,1,1,0
15700772,571,9,0,2,0,0,0
15728693,574,3,141349.43,1,1,1,0
15656300,411,0,59697.17,2,1,1,0
15589475,591,3,0,3,1,0,1
15706552,533,7,85311.7,1,0,1,0
15750181,553,9,110112.54,2,0,0,0
15659428,520,6,0,2,1,1,0
15732963,722,9,0,2,1,1,0
15794171,475,0,134264.04,1,1,0,1
15788448,490,3,145260.23,1,0,1,0
15729599,804,7,76548.6,1,0,1,0
15717426,850,7,0,1,1,1,0
15585768,582,6,70349.48,2,0,1,0
15619360,472,4,0,1,1,0,0
15738148,465,8,122522.32,1,0,0,1
15687946,556,2,117419.35,1,1,1,0
15755196,834,2,131394.56,1,0,0,1
15684171,660,5,155931.11,1,1,1,0
15754849,776,4,109421.13,2,1,1,0
15602280,829,9,112045.67,1,1,1,1
15771573,637,9,137843.8,1,1,1,1
15766205,550,2,103391.38,1,0,1,0
15771873,776,2,103769.22,2,1,0,0
15616550,698,10,116363.37,2,1,0,0
15768193,585,5,146050.97,2,0,0,0
15683553,788,5,0,2,0,0,0
15702298,655,8,125561.97,1,0,0,1
15569590,601,1,98495.72,1,1,0,1
15760861,619,1,125211.92,1,1,1,0
15630053,656,5,127864.4,1,1,0,0
15647091,725,0,75888.2,1,0,0,0
15623944,511,4,0,1,1,0,1
15804771,614,4,40685.92,1,1,1,0
15651280,742,5,136857,1,0,0,0
15773469,687,9,152328.88,2,0,0,0
15702014,555,1,56084.69,2,0,0,0
15751208,684,8,78707.16,1,1,1,0
15592461,603,4,109166.37,1,1,1,0
15789484,751,6,169831.46,2,1,1,0
15696061,581,1,101633.04,1,1,0,0
15641582,735,10,123180.01,2,1,1,0
15638424,661,5,150725.53,2,0,1,0
15755648,675,8,98373.26,1,1,0,0
15703793,738,2,133745.44,4,1,0,1
15620344,813,6,0,1,1,0,0
15812518,657,0,163607.18,1,0,1,0
15779052,604,5,157780.84,2,1,1,0
15770811,519,9,0,2,0,1,0
15780961,735,1,178718.19,2,1,0,0
15614049,664,8,0,2,1,1,0
15662085,678,9,0,1,1,1,0
15575185,757,5,77253.22,1,0,1,0
15803136,416,10,122189.66,2,1,0,0
15706021,665,1,96645.54,2,0,0,0
15663706,777,2,0,1,1,0,1
15641732,543,3,0,2,0,0,0
15701164,506,4,90307.62,1,1,1,0
15738751,493,4,0,2,1,0,0
15805254,652,10,0,2,1,1,0
15762418,750,3,121681.82,1,1,0,1
15625759,729,9,0,2,1,0,0
15622897,646,4,0,3,1,0,1
15767954,635,3,81623.67,2,1,1,0
15757535,647,5,0,3,1,1,1
